"PC","ExplainedVariance","CumulativeVariance"
"PC159",0.115002043656571,34.5928686253209
"PC160",0.114865110668523,34.7077337359894
"PC161",0.114277195287647,34.8220109312771
"PC162",0.114037166630907,34.936048097908
"PC163",0.113891863802535,35.0499399617105
"PC164",0.113658065150468,35.163598026861
"PC165",0.113371521339299,35.2769695482003
"PC166",0.113344105011206,35.3903136532115
"PC167",0.113103686044418,35.5034173392559
"PC168",0.11283688120427,35.6162542204602
"PC169",0.112760327236771,35.729014547697
"PC170",0.112446271111744,35.8414608188087
"PC171",0.112084530661972,35.9535453494707
"PC172",0.111885612977298,36.065430962448
"PC173",0.111723562130073,36.1771545245781
"PC174",0.111398487315909,36.288553011894
"PC175",0.111244653338818,36.3997976652328
"PC176",0.111189177335136,36.5109868425679
"PC177",0.111010536665888,36.6219973792338
"PC178",0.110846235296643,36.7328436145304
"PC179",0.110587029570453,36.8434306441009
"PC180",0.110525495189191,36.9539561392901
"PC181",0.110129303805045,37.0640854430951
"PC182",0.109890537793938,37.1739759808891
"PC183",0.109799052632067,37.2837750335211
"PC184",0.109576351384737,37.3933513849059
"PC185",0.109472822068561,37.5028242069744
"PC186",0.109350212735371,37.6121744197098
"PC187",0.109263192077126,37.7214376117869
"PC188",0.108887429570878,37.8303250413578
"PC189",0.108768268363284,37.9390933097211
"PC190",0.108705307616327,38.0477986173374
"PC191",0.108338449578502,38.1561370669159
"PC192",0.108256180758014,38.2643932476739
"PC193",0.108105154682878,38.3724984023568
"PC194",0.108003208353042,38.4805016107099
"PC195",0.107624610231978,38.5881262209418
"PC196",0.107528957981035,38.6956551789229
"PC197",0.107444482576319,38.8030996614992
"PC198",0.107284171820962,38.9103838333202
"PC199",0.107014586245643,39.0173984195658
"PC200",0.106864054154041,39.1242624737198
"PC201",0.106743355561313,39.2310058292812
"PC202",0.106544333849479,39.3375501631306
"PC203",0.106387820796659,39.4439379839273
"PC204",0.106293854315216,39.5502318382425
"PC205",0.106160773986365,39.6563926122289
"PC206",0.106078912062885,39.7624715242918
"PC207",0.105538467875723,39.8680099921675
"PC208",0.105480039553347,39.9734900317208
"PC209",0.105419310195676,40.0789093419165
"PC210",0.105290900648526,40.184200242565
"PC211",0.105038864085617,40.2892391066506
"PC212",0.104907031993732,40.3941461386444
"PC213",0.104786420671323,40.4989325593157
"PC214",0.104688283878251,40.603620843194
"PC215",0.10455976906293,40.7081806122569
"PC216",0.104453605212817,40.8126342174697
"PC217",0.104367033824156,40.9170012512939
"PC218",0.104260528833172,41.021261780127
"PC219",0.10409845717215,41.1253602372992
"PC220",0.104000723403903,41.2293609607031
"PC221",0.103758364563953,41.333119325267
"PC222",0.103665329990104,41.4367846552571
"PC223",0.103535078544477,41.5403197338016
"PC224",0.103285358288054,41.6436050920897
"PC225",0.103157652681836,41.7467627447715
"PC226",0.103001207582257,41.8497639523538
"PC227",0.1028477934282,41.952611745782
"PC228",0.102794729951777,42.0554064757337
"PC229",0.102639757275145,42.1580462330089
"PC230",0.102495189134103,42.260541422143
"PC231",0.102323451480636,42.3628648736236
"PC232",0.10207226463239,42.464937138256
"PC233",0.102028966066512,42.5669661043225
"PC234",0.101919386137359,42.6688854904599
"PC235",0.101712280127041,42.7705977705869
"PC236",0.101680703167384,42.8722784737543
