"PC","ExplainedVariance","CumulativeVariance"
"PC108",0.120160457481959,25.8368287384241
"PC109",0.120025940714678,25.9568546791388
"PC110",0.119930790461795,26.0767854696006
"PC111",0.11941586960367,26.1962013392043
"PC112",0.119149211285499,26.3153505504898
"PC113",0.119011163941574,26.4343617144313
"PC114",0.118744399440333,26.5531061138717
"PC115",0.118342930293743,26.6714490441654
"PC116",0.118305313457583,26.789754357623
"PC117",0.117917647400311,26.9076720050233
"PC118",0.117880385206085,27.0255523902294
"PC119",0.11737712982589,27.1429295200553
"PC120",0.11723334773996,27.2601628677952
"PC121",0.117011366655383,27.3771742344506
"PC122",0.116621153973279,27.4937953884239
"PC123",0.11649464119988,27.6102900296238
"PC124",0.116298707491931,27.7265887371157
"PC125",0.116025148469926,27.8426138855856
"PC126",0.115450723976631,27.9580646095623
"PC127",0.115298451675837,28.0733630612381
"PC128",0.11525543441854,28.1886184956567
"PC129",0.115098999746346,28.303717495403
"PC130",0.114880956303002,28.418598451706
"PC131",0.114626532248592,28.5332249839546
"PC132",0.114255847377498,28.6474808313321
"PC133",0.11414837448319,28.7616292058153
"PC134",0.113999599798883,28.8756288056142
"PC135",0.113800878205932,28.9894296838201
"PC136",0.113600436396294,29.1030301202164
"PC137",0.113437951157208,29.2164680713736
"PC138",0.113245285050233,29.3297133564238
"PC139",0.112953198048996,29.4426665544728
"PC140",0.112532836080412,29.5551993905532
"PC141",0.112308172824196,29.6675075633774
"PC142",0.112259768810948,29.7797673321884
"PC143",0.112166617428156,29.8919339496165
"PC144",0.111997655734371,30.0039316053509
"PC145",0.11159209575842,30.1155237011093
"PC146",0.11144414933059,30.2269678504399
"PC147",0.111340289359308,30.3383081397992
"PC148",0.111262791414983,30.4495709312142
"PC149",0.11105787552643,30.5606288067406
"PC150",0.110947762803073,30.6715765695437
"PC151",0.110758704751403,30.7823352742951
"PC152",0.110553264260326,30.8928885385554
"PC153",0.110206154626439,31.0030946931819
"PC154",0.110101146131606,31.1131958393135
"PC155",0.109959703476439,31.2231555427899
"PC156",0.109864147538019,31.3330196903279
"PC157",0.109502794142907,31.4425224844709
"PC158",0.109388884949653,31.5519113694205
"PC159",0.109195279107317,31.6611066485278
"PC160",0.10912065205021,31.770227300578
"PC161",0.108919890831825,31.8791471914099
"PC162",0.108771603206998,31.9879187946169
"PC163",0.108732444595196,32.0966512392121
"PC164",0.108645726174206,32.2052969653863
"PC165",0.108284371154465,32.3135813365407
"PC166",0.108090494179046,32.4216718307198
"PC167",0.108045621415537,32.5297174521353
"PC168",0.107965437520109,32.6376828896554
"PC169",0.107757179862999,32.7454400695184
"PC170",0.107589420001405,32.8530294895198
"PC171",0.107508733647397,32.9605382231672
"PC172",0.107392250102522,33.0679304732697
"PC173",0.107189055557466,33.1751195288272
"PC174",0.107092342898257,33.2822118717255
"PC175",0.106858202433619,33.3890700741591
"PC176",0.106675246709538,33.4957453208686
"PC177",0.10650943216515,33.6022547530338
"PC178",0.106366572449003,33.7086213254828
"PC179",0.106248227936638,33.8148695534194
"PC180",0.105983860541867,33.9208534139613
"PC181",0.105935059745633,34.0267884737069
"PC182",0.105787318178378,34.1325757918853
"PC183",0.105494283699242,34.2380700755845
"PC184",0.105248316963906,34.3433183925484
"PC185",0.105137128523636,34.4484555210721
"PC186",0.105074101303703,34.5535296223758
"PC187",0.104861204685178,34.658390827061
"PC188",0.104618655693395,34.7630094827543
"PC189",0.104598989931414,34.8676084726858
"PC190",0.10455000027207,34.9721584729578
"PC191",0.104411294349234,35.0765697673071
"PC192",0.104301835016606,35.1808716023237
"PC193",0.104070243613469,35.2849418459371
"PC194",0.103919055621537,35.3888609015587
"PC195",0.103768612122753,35.4926295136814
"PC196",0.103669009398415,35.5962985230798
"PC197",0.103571579452288,35.6998701025321
"PC198",0.103499865939575,35.8033699684717
"PC199",0.103290837004408,35.9066608054761
"PC200",0.103172325969468,36.0098331314456
"PC201",0.103063831426332,36.1128969628719
"PC202",0.103008337034634,36.2159052999066
"PC203",0.102810275636028,36.3187155755426
